symbol,company,market_cap,industry,lodged,title,date_effective,tiers,window_model,ad_hoc_blackout_authority,dealing_covers_derivatives,dealing_covers_agreements_to_deal,dealing_covers_encumbrance,dealing_covers_stock_lending,dealing_covers_change_of_beneficial_ownership,securities_include_otc_derivatives,substance_over_form,secured_financing_scope,forced_sale_in_closed_period,unvested_as_collateral,financing_disclosure,minimum_shareholding_requirement,exemption_authority,external_documents,jurisdiction_overlays,funded_collar,summary
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Securities Dealing Policy,1 October 2024,"BHP directors, employees and contractors | Persons on insider lists | Participants in BHP's employee incentive plans | Restricted Persons | PDMRs | PCAs",closed,The Board or the Disclosure Committee may declare any other period a Closed Period. The policy is silent on whether such a declaration is confidential.,yes,yes,yes,yes,yes,yes,yes,any_secured_financing,not_addressed,prohibited,"PDMRs and PCAs; inception (entry into any margin lending or other secured financing arrangement is a dealing); Group Company Secretary; immediately after dealing, with BHP notifying the FCA within three business days and announcing to exchanges within two business days of notification",,"Clearance Officers (Group Company Secretary or delegate) may give or refuse clearance at their discretion and may clear a PDMR, PCA or Restricted Person to deal in a Closed Period in exceptional circumstances; only the Group Company Secretary or the Chair of the Board may determine that severe financial difficulty or other exceptional circumstances exist. The Board or Disclosure Committee declares additional Closed Periods.","Securities Dealing Clearance Request Form | BHP insider lists maintained by Group Governance | Employee incentive plan rules (Cash and Deferred Plan, Long Term Incentive Plan, Management Award Plan, Short-Term Incentive Plan)","UK Market Abuse Regulation concepts: PDMRs, PCAs, insider lists, FCA notification of PDMR/PCA dealings within three business days",blocked,"A funded collar over vested, unrestricted shares is possible for a BHP PDMR (director or KMP) but only with prior written clearance from the Group Company Secretary, executed within two business days of clearance, outside Closed Periods (year-end and half-year-end to results, plus any Board or Disclosure Committee blackout) and with a tenor exceeding one year, since investments maturing in one year or less are prohibited short-term dealings. The express PDMR derivatives ban is limited to exchange-traded or organised-market instruments, so a bilateral OTC put and call is caught only as a dealing, though BHP applies a substance-over-form approach and clearance is discretionary. Unvested securities and vested securities under holding locks cannot be hedged or used as collateral at all, so only free vested shares can be collared or charged. The loan and the security interest over the shares are each dealings requiring clearance and, for PDMRs, post-trade notification to the Group Company Secretary with onward FCA and exchange disclosure. The policy is silent on forced sales by a lender in a Closed Period, and the exceptional-circumstances relief covers only an immediate sale."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,Group Personal Trading Policy,1 October 2024,"all employees | Specified Persons | CBA Board directors, Group Company Secretaries, Group Executives",open,"The CBA Board (or its delegate) designates Trading Windows and may vary, suspend or close them at any time; Specified Persons are notified by e-mail and on the Conflicts Hub. Confidentiality of a suspension is not addressed.",yes,yes,not_addressed,not_addressed,yes,yes,not_addressed,any_secured_financing,breach,prohibited,,,Group Chief Risk Officer is the Policy Exemption Authority. Trading Window exceptions are approved under Attachment A (CBA Board Chair for directors and the CEO; Board Audit Committee Chair for the Board Chair; CEO for Group Executives; Subsidiary Board Chair or Deputy Chair for subsidiary directors; Group General Counsel and Group Executive Legal & Group Secretariat for other Specified Persons and Board company secretaries). Any other exemption request goes through the Group Policy Framework.,"Group Personal Trading Procedure (Pre-Clearance mechanics, who requires it and for which Trades, brokerage account declarations, attestations) | Conflicts Hub (Specified Person designation, Pre-Clearance requests, Trading Window notifications) | Group Policy Framework Glossary | Group Policy Framework (process for exemption requests other than Trading Window exceptions) | Group Conflicts Management Policy | Group Issue Management Procedure | Group Incident Management Procedure | ASB securities trading policy | Additional BU/SU Securities Trading requirements","UK and EU Market Abuse Regulation No 596/2014: CBA Board directors, Group Company Secretaries, Group Executives and their Associates must not Trade any Group Security listed or traded on a UK or EU regulated market, or any other Security whose price or value depends on or affects such a Group Security (para 18). | Where laws, regulatory requirements or contractual obligations conflict with the policy, the more stringent standard applies. | ASB (New Zealand) has its own securities trading policy.",blocked,"A funded collar is not possible for CBA Board directors, Group Company Secretaries, Group Executives or their Associates: para 9 bans any transaction that limits the economic risk of their exposure to any vested Group Securities, and para 16(a) bans using Group Securities as security for margin lending or any other secured financing. For other Specified Persons (e.g. Executive General Managers, Subsidiary Board directors, Group Control Room staff), the hedge leg over vested shares free of any holding lock is not expressly banned, but the OTC options are Securities and entering them is a Trade, so it must be done in a Trading Window, with Pre-Clearance where designated on the Conflicts Hub (valid three business days), subject to the 30-day LIFO holding rule, and it must not involve CFDs, short selling or stock lending of Group Securities. The loan leg secured on the collared shares is prohibited for all Specified Persons, so at most an unsecured or unfunded collar is workable for that group, and exercise or settlement mechanics that execute outside a Trading Window are a further risk under para 11. Employees who are not Specified Persons face only the insider trading prohibition and whatever Pre-Clearance the unpublished Procedure imposes. The MAR overlay in para 18 adds an outright bar for the senior group on any Security that prices off a UK/EU-listed Group Security."
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Group Securities Trading Policy,,NAB People | Designated NAB Employees | Directors | Executive Leadership Team | Key Management Personnel | Immediate Family Members and controlled entities,closed,"NAB may impose ad hoc restrictions on Trading in Group Securities when there is a heightened risk of NAB People having Inside Information (e.g. a planned transaction), on all NAB People or individually identified employees. No specific officer is named and confidentiality is not addressed.",yes,yes,no,no,not_addressed,yes,not_addressed,any_secured_financing,not_addressed,not_addressed,Directors and Executive Leadership Team: at inception of a Margin Loan and before agreeing to provide additional Group Securities as security; Compliance Certificate to Chair/direct manager then Group Company Secretary; before entry | Directors and Executive Leadership Team: when a financier demands payment under a Margin Loan and the demand may not be met without disposing of Group Securities; inform the Group Company Secretary for the internal disclosure decision process under the Group Disclosure & External Communications Policy; deadline unspecified,,"In Exceptional Circumstances (severe financial hardship requiring a sale, or a court order or legal/regulatory requirement to sell) the Board delegates written exemptions from the Policy to the Chair, Group CEO or delegate, Group CFO or delegate, Group Executive Legal & Commercial Services or delegate, or Group Company Secretary or delegate, at their discretion; an exemption is valid 5 business days and still requires a Compliance Certificate. Separately, the Group Executive Legal & Commercial Services or delegate may exempt a person from the Compliance Certificate requirement. Section 5.1 states there are no exceptions to the Policy.",Group Securities Trading Policy Guidance Note | Securities Trading Compliance Certificate - Director | Securities Trading Compliance Certificate - Designated NAB Employee | Group Disclosure & External Communications Policy and Guidance Notes | Conflicts Of Interest Policy - Standard Operating Procedures | Exemptions Procedure Guide | Code of Conduct,"Regional legislative requirements take precedence over the Policy unless the Policy imposes a higher requirement that does not breach local law | ELT members and directors/executives of certain Group subsidiaries (e.g. BNZ, New Zealand) may have notification requirements in other jurisdictions, communicated individually | Conflicts of Interest SOP personal account dealing pre-approval may apply to non-Group Securities",workable,"A funded collar is possible for NAB Directors and Executive Leadership Team members, but only over Group Securities whose NAB-imposed time and performance hurdles have been satisfied and, for KMP, that are no longer subject to forfeiture conditions; derivatives and hedging over unvested securities are banned outright. Because a general collar is not one of the two self-executing permitted purposes, it requires case-by-case approval (Chair for Directors, Group Company Secretary for the Chair, Group CEO or delegate for ELT), and both legs must mature within the eight-week period after a half-year or full-year results release and be written by a counterparty outside the NAB Group. The loan secured on the collared shares is a Margin Loan under the policy's broad definition, so Directors and ELT must lodge a Compliance Certificate before entering it and before any collateral top-up, and must report to the Group Company Secretary if a margin demand may force a sale. The derivative itself needs a Compliance Certificate, execution within 5 business days of acknowledgement, and must fall outside the 16 March and 16 September Black-out Periods and any ad hoc restriction; NAB will publicly disclose all Director and KMP derivative positions. Written exemptions exist only for hardship or court-ordered sales."
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Westpac Group Securities Trading Policy,,Employees | Prescribed Employees | Key Prescribed Employees | Group Executives | Westpac Directors | associates,closed,"The Chief Compliance Officer may extend or reduce Blackout Periods (conditionally or unconditionally) and may impose ad hoc restrictions when ASX Listing Rule 3.1A matters are under consideration, on all Prescribed Employees, Key Prescribed Employees only, or individually identified employees. The Group Control Room notifies Prescribed Employees before Blackout Periods start and end; confidentiality of ad hoc restrictions is not addressed.",yes,yes,no,no,yes,yes,not_addressed,margin_loan_only,breach,not_addressed,"Key Prescribed Employees: any margin lending arrangements in respect of Westpac securities (inception, ongoing); to the Group Control Room; deadline unspecified | Westpac Directors and Group Executives: where approval to sell during a Blackout Period is granted; advise the Group General Counsel & Enterprise Executive and General Manager, Company Secretary for any 3Y notice; before lodgement",,"Blackout Period sale exemptions for unreasonable financial impost or other exceptional circumstances: Group General Counsel & Enterprise Executive for Group Executives, Key Prescribed Employees and Prescribed Employees; Chairman for Westpac Directors; Chairman of the Board Audit Committee for the Chairman. Written application confirming no inside information and that sale is the only reasonable course; written outcome with conditions; reasons may be withheld; the approver must decline if they themselves hold inside information. The Chief Compliance Officer may extend or reduce Blackout Periods. No general power to waive the unvested hedging ban or short selling ban.",Key Prescribed Employee Trading Process (Addendum to the Policy) | Register of Prescribed Employees and Register of Key Prescribed Employees (Group Control Room) | Prescribed Employee Trade Notification Form (online) | Westpac Code of Conduct | Business unit securities trading policies and procedures,Employees working or dealing outside Australia must also comply with the laws of that jurisdiction; the Policy is based on Australian law,enforcement_restricted,"A funded collar over vested Westpac shares is possible for Directors and Prescribed Employees. Derivatives and hedging over unvested holdings or unvested plan entitlements are prohibited for everyone, but hedging arrangements over vested securities are expressly contemplated: Directors need prior approval of the Chairman (Board Audit Committee Chairman for the Chairman) and must notify the General Manager, Company Secretary immediately afterwards; Key Prescribed Employees must pre-clear under the separate Key Prescribed Employee Trading Process; other Prescribed Employees lodge the online notification form beforehand; all must be outside the 15 March and 15 September Blackout Periods and any Chief Compliance Officer ad hoc restriction. Margin loans over Westpac securities are expressly permitted without approval (Key Prescribed Employees must disclose them to the Group Control Room), so the secured loan leg is available, but margin calls may not be met by selling Westpac shares in a Blackout Period or while holding inside information, any lender sale in a Blackout Period is a breach whether or not instructed, and the policy expects other resources and steers toward facilities without price triggers. Tenor should be medium to long term to avoid the short-term trading ban, and any transfer of the collared shares that changes ownership is itself a trade."
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,Trading in ANZ Securities Policy,3 August 2026,"Employees, contingent workers and ANZ Directors | ANZ Restricted Persons | ExCo Members and Key Management Personnel | ANZ Directors and Chief Executive Officer | Associates",closed,"The Group's Continuous Disclosure Committee may impose ad hoc Blackout Periods when matters within ASX Listing Rule 3.1A or NZX Listing Rule 3.1.2 exceptions are being considered, or to manage conflicts of interest, on dates it determines. Confidentiality of the restriction is not addressed.",yes,yes,yes,yes,yes,yes,not_addressed,any_secured_financing,not_addressed,not_addressed,"ANZ Restricted Persons: all Broker Accounts (any account used for holding or transacting ANZ Securities, including accounts over which they or Associates have trading authority) must be disclosed and registered in the Personal Account Dealing Platform regardless of activity, and kept up to date; ongoing",,"Exceptions to the Policy are requested through the Personal Account Dealing Platform and must be approved by the Restricted Person's Line Manager and the ANZ Control Room, and only in exceptional circumstances such as severe financial hardship or an unanticipated significant financial commitment; the Control Room reviews, approves and records exemptions, and formal policy exemptions go to the owner (Head of Compliance Institutional) on the Policy Exemption Form. Exercise of ANZ Rights during a Blackout Period requires a special circumstance trading application. The Continuous Disclosure Committee sets ad hoc Blackout Periods.",ANZ Policy glossary | Code of Conduct | Conflicts of Interest Policy | Non-financial risk framework and Conduct Risk Framework | Performance and Remuneration Policy | Trading in Non-ANZ Securities Policy | StarCompliance Personal Account Dealing User Guide | Event Management Standard | Policy Exemption Form,"NZX Listing Rule 3.1.2 (ad hoc Blackout Periods when NZX non-disclosure exceptions are relied on) | Compulsory acquisition under equivalent laws outside Australia is exempt from Pre-trade Approval | Where the law imposes a higher standard than the Policy, the legal obligation prevails",blocked,"A funded collar as typically structured is not available to ANZ Directors, ExCo Members, KMP or other Restricted Persons: section 3.5 prohibits using ANZ Securities in connection with a margin loan or any similar financing arrangement that may be subject to a margin call or loan-to-value ratio, and exceptions are granted only in exceptional circumstances such as severe hardship. The unfunded collar legs (put and call) over shares that are vested, outside any holding lock and past any clawback period are not prohibited, but each is a Trade requiring written Pre-trade Approval from the ANZGHL Chairman for Directors and the CEO, or from the CFO, Chief Risk Officer or Group General Counsel for ExCo and KMP, valid for 48 hours, outside the long Blackout Periods (two months before results, two weeks before trading updates, plus ad hoc periods), with a medium to long term objective, a 30-day minimum hold and the market perception test. Hedging unvested, locked or clawback-period plan holdings is banned outright. Any charge over the shares or transfer into a bank nominee account is itself a Trade needing approval, and a loan with no margin call or LTV mechanism, while outside the literal ban, would still need approval and could be refused on perception grounds."
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,2024-01-02,Trading Policy,January 2024,Macquarie Staff | Key Management Personnel | Executive Directors | Associates,open,Staff Trading Windows exist only at Macquarie's discretion and are a conditional exception to a standing prohibition; all pre-clearances carry an expiry date and may be withdrawn if new information comes to light. A denied pre-clearance is final and must be kept confidential. No named officer for ad hoc closures.,yes,yes,no,no,yes,yes,not_addressed,any_secured_financing,clearance_required,not_addressed,"Key Management Personnel: annual disclosure of financing arrangements relating to their Macquarie securities; to Macquarie; annually | Key Management Personnel: inception or existence of Macquarie securities lent, mortgaged or charged to a financier; to the Company Secretary; immediately | Key Management Personnel: financier entitled or likely to become entitled to demand payment under the finance arrangements; to the Company Secretary; immediately | Key Management Personnel: expectation that a demand cannot be satisfied without disposing of securities representing at least 1% of Macquarie's issued securities; to the Company Secretary; immediately","Referenced for KMP and Executive Directors: no transaction may limit or reduce the economic risk of their shareholding below the minimum personal shareholding requirement, so hedged shares effectively do not count toward it; the MSR itself is set outside this policy.","A specific written waiver from the prohibition on dealing outside a Staff Trading Window may be granted in exceptional circumstances (compulsion of law, severe financial hardship, or other circumstances deemed exceptional) by the ANZ Regional Head of Compliance, Global Head of Compliance or Head of Risk Management Group on a request to RMG Employee Compliance supported by a statutory declaration; granted at Macquarie's absolute discretion, subject to expiry, withdrawable, and refusal is final and confidential. Staff Trading Windows themselves are set at Macquarie's discretion. No waiver route is stated for the hedging bans or the MSR floor.",Macquarie Personal Investments Policy | Business group and jurisdiction-specific personal dealing policies | Macquarie Group Employee Retained Equity Plan (MEREP) rules | Minimum personal shareholding requirement (for KMP and Executive Directors) | PTA personal compliance system,Business group or jurisdiction-specific personal dealing requirements may apply in addition (Staff must consult their business group policy) | MQG ADRs traded on the US over-the-counter market are Macquarie securities,clearance_required,"A funded collar is possible for Macquarie Staff including Key Management Personnel and Executive Directors, over Macquarie securities that have vested and are free of any holding lock or dealing restriction. The collar is a transaction intended to hedge unrestricted securities and is expressly permitted subject to PTA pre-clearance and business group approval, executed within a discretionary Staff Trading Window of up to five weeks after the interim results, final results or AGM; hedging unvested or locked securities (including MEREP awards) is banned at any time, and KMP and Executive Directors cannot hedge below their minimum personal shareholding requirement. Margin loans and other financing arrangements over Macquarie securities are permitted, with an expectation of sufficient cash or other collateral to meet margin calls even in an extreme downturn; KMP must disclose financing arrangements annually, inform the Company Secretary immediately when shares are lent, mortgaged or charged to a financier and on any margin-demand event or anticipated disposal of 1% or more of issued securities, and any liquidation to meet a margin call needs pre-clearance, which is available only in a window or under an exceptional-circumstances waiver. Short-term trading and uncovered short selling are prohibited, so the collar should be medium term and physically settled only in a window."
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,2021-04-07,Securities Trading Policy (Policy No: 1.4),,All directors and employees | Officers | Directors | Associated Parties,closed,'Project Restrictions' may be imposed from time to time on nominated directors and employees due to their knowledge of a potential project or transaction. The policy does not say who imposes them or whether they are confidential; the Company Secretary's clearance confirmation covers whether the dealing is 'subject to any other restriction under this policy'.,yes,yes,yes,yes,yes,yes,not_addressed,any_financing_in_respect_of_securities,not_addressed,not_addressed,"Officers: at inception, as part of the clearance request, details of the type of dealing (security interest, margin loan or hedge) and the number of securities involved, to the Wesfarmers Company Secretary, before dealing; and confirmation with a copy of the transaction documentation after completion. | Directors: notification of trading in Wesfarmers securities to the ASX under the Corporations Act and Listing Rules, and to the Company Secretary under the director's letter agreement; the policy does not state deadlines.",Directors must comply with the Board Charter requirements on holding a minimum number of Wesfarmers securities (Annexure B 8(b)); the policy does not say whether hedged or encumbered shares count towards it.,"Wesfarmers Company Secretary grants or refuses clearance at discretion without reasons, after confirming with at least two disclosure committee members (and the Chairman, or the Chair of the Audit and Risk Committee, for directors). Blackout Period relief is limited to sales in exceptional circumstances with the Chairman's (or ARC Chair's) prior written approval and documentary evidence. The CFO may approve share plan issues to Project-Restricted employees. No clearance can be given for dealings restricted by the Corporations Act. Only the Board may amend the policy.",BWP Management Limited Responsible Entity Securities Dealing Policy | Wesfarmers Market Disclosure Policy (Group Policy 1.5) | Wesfarmers Board Charter (minimum shareholding requirement for directors) | Letter agreement between each director and Wesfarmers relating to notification of trading in Wesfarmers securities | Wesfarmers share plan rules,Corporations Act restriction on KMP and closely related parties hedging remuneration that remains subject to restrictions on disposal; clearance cannot be given for such dealings,workable,"A funded collar is possible for Wesfarmers directors and Leadership Team members (Officers), but only with prior written clearance from the Company Secretary, who must first confirm with at least two disclosure committee members and, for directors, the Chairman (or the Chair of the Audit and Risk Committee). Hedging, creating a security interest, entering a margin loan and any OTC derivative are each clearance-gated dealings under Annexure B 9 rather than prohibited, and the clearance is discretionary, revocable, subject to the 'front page' test and valid only for two clear trading days within which an off-market dealing must settle. The collar cannot be written over unvested shares or vested shares still subject to disposal restrictions because the policy restates the Corporations Act KMP hedging restriction and states that clearance cannot be given for it; only vested, unrestricted shares qualify, and plan rules must also be satisfied. Entry, security grant, roll and unwind must all fall outside the 20 June and 20 December Blackout Periods and any Project Restriction, since blackout relief is limited to sales in hardship or court-ordered circumstances. Lender enforcement and margin-call sales are not addressed, and directors must also comply with the Board Charter minimum shareholding and their ASX and letter-agreement notification obligations."
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Group Securities Dealing Policy,13 February 2024,Personnel | Restricted Persons | Directors | Directors and members of the Global Leadership Group | Related Parties,open,"The Disclosure Committee may specify any other Closed Period from time to time, including declaring or extending a Closed Period to cover a hedge exercise date. The policy does not say whether such periods are confidential. Personnel working on a transaction or project may also be notified that they may not trade in the securities of other entities involved.",not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,any_financing_in_respect_of_securities,not_addressed,prohibited,,,"The section 3.1 approvers (Chair for directors including the CEO; CSL Board or ARMC Chair for the Chair; CEO and Chair for the Company Secretary; Company Secretary or delegate for all others) may approve Closed Period or short-term dealings in Exceptional Circumstances on sufficient evidence, consulting management where appropriate. Such dealings must still comply with the other sections of the Policy unless otherwise notified, so there is no stated authority to waive the hedging, short selling or secured financing bans. The Disclosure Committee sets additional Closed Periods.","CSL Equity Plan rules (holding lock terms) | Definitions of Personnel, Restricted Persons, Related Parties, Global Leadership Group, CSL Securities and Inside Information are not included in the lodged document",Personnel must also comply with any applicable obligations or requirements under local law in their jurisdiction (CSL securities also trade on US OTC as ADRs),blocked,"A funded collar is not possible under this policy. Directors, members of the Global Leadership Group and their Related Parties are absolutely prohibited from entering hedging arrangements in relation to CSL Securities, which captures the put and call legs of a collar regardless of vesting state, and no approver can waive it. Separately, section 2.6 bans all Personnel from margin loans and any other secured financing arrangement in respect of CSL Securities, so the loan secured on the collared shares is prohibited for everyone. Personnel below the Global Leadership Group may enter an unfunded collar over vested, unlocked shares only if it is initiated in an Open Period with its exercise date fixed within an Open Period, they hold no inside information and, if they are Restricted Persons, they obtain prior approval (Company Secretary or delegate) and deal within three ASX trading days. Key terms including Restricted Persons and Related Parties are undefined in the lodged document and must be confirmed with CSL."
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Securities Dealing Policy,21 December 2020,Rio Tinto Personnel | Restricted Persons | Permanent Restricted Persons | Results Restricted Persons | Project Restricted Persons | PDMRs | PCAs,closed,"Company Secretariat may specify extended or additional Closed Periods and may designate Project Restricted Persons as subject to Dealing prohibitions for specific transactions or business situations; it notifies the person of the prohibitions applicable to them. Confidentiality of the periods is not stated, but any refusal of clearance must be kept confidential.",yes,not_addressed,yes,not_addressed,yes,yes,not_addressed,any_secured_financing,excluded_dealing,not_addressed,"PDMRs and PCAs: immediately after any Dealing, which includes granting a charge or entering a secured financial arrangement, notify the Group Company Secretary of the transaction details; Rio Tinto notifies ASX and the UK FCA within the stipulated time frames. | Permanent, Project and Results Restricted Persons: Post Trade Notification via the Dealing Rules portal within two business days of Dealing.",,"Only the Group Company Secretary or the Chairman of the Board may determine that severe financial difficulty or other exceptional circumstances exist; clearance to Deal in a Closed Period or on a short-term basis then requires no Inside Information, that the Dealing cannot be executed outside the Closed Period, and circumstances requiring an immediate sale. Clearance is otherwise at the relevant approver's absolute discretion. No authority is stated to waive the PDMR derivatives, short selling and secured financing bans or the section 11 hedging ban.",FAQs on the Company intranet | Rio Tinto Dealing Rules portal on the Company intranet | Rio Tinto employee share plan rules (including myShare) | Market Abuse Regulation (EU) 596/2014 (as amended),"UK Market Abuse Regulation (EU) 596/2014 as amended: PDMR and PCA definitions, Closed Periods and FCA notification of PDMR and PCA dealings | ASX Listing Rules notification of PDMR dealings | NYSE-listed ADRs registered with the US SEC are Rio Tinto Securities",blocked,"A funded collar is not possible for Rio Tinto directors, KMP or any other PDMR: section 12.3 expressly prohibits PDMRs from Dealing in derivative products over or in respect of Rio Tinto Securities and from entering margin lending or other secured financing arrangements, with no exemption authority, and PCAs are caught through the 'for the account of a third party' language. For Permanent or Project Restricted Persons who are not PDMRs, a collar and a secured loan are each Dealings (limbs (c), (e) and (h) of the definition) that may proceed only with prior written clearance from the Group Company Secretary or delegate via the Dealing Rules portal, executed within two Business Days or the period specified, outside any Closed Period applying to them, with a Post Trade Notification within two business days. Such persons may not hedge unvested plan securities or vested plan securities still subject to disposal restrictions, so only vested, unrestricted or non-plan shares can be collared. A disposal resulting from a secured lender exercising its rights is excluded from the Policy. Personnel who are not Restricted Persons are subject only to the Insider Dealing prohibition."
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,Securities Dealing Policy,4 December 2024,"employees | directors | restricted employees | directors, executive key management personnel and other executives participating in an equity-based executive incentive plan | family members and controlled entities",closed,"The CEO may declare other black-out periods from time to time; the Group General Counsel may nominate employees as restricted employees because of project or transaction work. The policy does not say whether declared black-out periods are confidential, but a refusal of clearance, approval or acknowledgement must be kept confidential.",yes,yes,yes,not_addressed,yes,yes,yes,any_secured_financing,excluded_dealing,prohibited,directors: pre-dealing written request with Compliance Certificate to the Group Company Secretary; post-dealing details immediately (ideally same day) to the Group Company Secretary for ASX filing within 5 business days; granting a charge is a dealing. | restricted employees: Compliance Certificate to direct manager and Group General Counsel before dealing; confirmation to the Group General Counsel ideally by close of business on the day of the dealing.,Section 6.2 refers to directors' and restricted employees' 'minimum shareholding requirements' as a separate constraint on dealing; the Policy does not say whether hedged or pledged shares count.,"Under 4.3 the Chair of the Board (directors), the CEO (the Chair) or the Group General Counsel (restricted employees), on written application through the Group Company Secretary, may clear a disposal (never an acquisition) otherwise restricted by the Policy in severe financial difficulty, under a court order or in other exceptional circumstances determined by the Board; the clearance specifies its validity period and the approver must not be dealing at the time. No authority exists to waive the derivatives, hedging or pledging bans, and the section 7 exclusions do not apply to directors in black-out periods.","Compliance Certificate form (Woodside intranet, Group Company Secretary or Group General Counsel) | Woodside equity-based incentive plan rules (holding locks and plan-specific dealing restrictions) | Non-Executive Directors Share Plan (NEDSP) terms | List of restricted employees maintained by the Group General Counsel | Minimum shareholding requirements for directors and restricted employees",US Securities Exchange Act of 1934 insider trading prohibition (NYSE listing); ADS deposit and withdrawal mechanics | ASX Listing Rules director notification within 5 business days,blocked,"A funded collar is not possible for Woodside directors, executive key management personnel or other executives participating in an equity-based executive incentive plan: section 5.1 expressly prohibits transactions in Woodside-based derivative securities including collars and writing puts or calls, whether for hedging or not and regardless of vesting state, and section 8.1 separately bans directors, Company Secretaries and CEO direct reports from pledging Woodside securities as collateral, with no exemption authority. The only potential candidates are restricted employees nominated by the Group General Counsel who are not executive incentive plan participants or CEO direct reports: for them an OTC hedge of a vested, unlocked holding and a secured loan are each dealings requiring a Compliance Certificate acknowledged by the GGC, executed within 7 days, outside the 31 December and 30 June black-out periods, passing the Front Page Test and not forcing disposal of shares acquired within three months. Ordinary employees may enter such arrangements without notification subject to the insider trading, Front Page Test and short-term dealing rules. A secured lender's enforcement sale is excluded from the Policy except for directors in a black-out period, and all approvals are discretionary, conditionable and revocable."
