symbol,company,market_cap,industry,lodged,topic,tier,security_state,venue,answer,mechanism,floor,section,detail,evidence
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,derivatives,PDMRs,any,exchange,prohibited,express,,4 (Additional restrictions on PDMRs),"Absolute ban on put options, call options or other derivative securities dealt on an exchange or in any other organised market, regardless of the state of the underlying shares.","where the dealing involves transactions in put options, call options or other derivative securities, on an exchange or in any other organised market"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,derivatives,PDMRs,vested_unrestricted,otc,permitted_with_clearance,via_dealing_definition,,3 (Dealing in securities); 4; 5,"The express derivatives ban is venue-limited to exchanges and organised markets. A bilateral OTC put and call with a bank falls outside it but is a dealing (contract to secure a profit or avoid a loss by reference to price fluctuations; grant/acceptance of an option; 'securities' includes financial products whether quoted or not), so it requires clearance from the Group Company Secretary, cannot occur in a Closed Period, and must not have a maturity of one year or less. Substance over form applies.","entry into a contract to secure a profit or avoid a loss by reference to price fluctuations; the grant, acceptance, acquisition, disposal, exercise or discharge of any option"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,derivatives,PDMRs,unvested,otc,prohibited,express,,4 (Additional restrictions on PDMRs),"Any derivative that uses unvested securities as collateral is caught by the PDMR collateral ban, which expressly includes hedging.","where the dealing involves using unvested BHP securities as collateral in any financial transaction, including hedging and margin loan arrangements"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,derivatives,Restricted Persons,any,any,permitted_with_clearance,via_dealing_definition,,3; 4 (Restricted Persons); 5,No express derivatives rule for Restricted Persons or persons on insider lists; options and price-referenced contracts are dealings requiring clearance and barred in Closed Periods.,must request clearance before dealing in BHP securities from the Group Company Secretary in BHP securities by submitting a Securities Dealing Clearance Request Form
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,derivatives,"BHP directors, employees and contractors",any,any,permitted,via_dealing_definition,,3,"For staff outside the restricted tiers, derivatives are dealings subject only to the insider trading prohibition and the reputational guiding principle.",Dealing includes any transaction or change affecting title to or interest in securities
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging,Participants in BHP's employee incentive plans,unvested,any,prohibited,express,,4 (Participants in BHP's employee incentive plans),"Absolute, at-any-time ban on any transaction that operates or is intended to operate to limit exposure to the risk of holding unvested plan securities.",Participants must not at any time enter into a transaction that operates or is intended to operate to limit participants' exposure to the risk of holding unvested BHP securities granted under a BHP employee incentive plan
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging,Participants in BHP's employee incentive plans,vested_locked,any,prohibited,express,,4 (Participants in BHP's employee incentive plans),The hedging ban extends to vested securities that remain subject to holding locks or similar restrictions.,or vested BHP securities that are subject to holding locks or similar restrictions.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging,PDMRs,unvested,any,prohibited,express,,4 (Additional restrictions on PDMRs),"PDMRs may not use unvested securities as collateral in any financial transaction, expressly including hedging.","where the dealing involves using unvested BHP securities as collateral in any financial transaction, including hedging and margin loan arrangements"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging,PDMRs,vested_unrestricted,otc,permitted_with_clearance,via_dealing_definition,,3; 4; 5,"Hedging of vested, unrestricted shares is not expressly banned for PDMRs. It is a dealing requiring clearance, outside Closed Periods, not via exchange-traded derivatives, and not with a maturity of one year or less. Clearance is discretionary and will be refused where the dealing could be perceived as taking advantage of position.","Where clearance is required for a dealing under this policy, clearance will not be granted where the dealing would not satisfy the considerations above."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging,"BHP directors, employees and contractors",vested_unrestricted,any,permitted,via_dealing_definition,,3,"For non-plan-participant, non-restricted staff, hedging vested unrestricted shares is not named; it is a dealing subject only to the insider trading prohibition.",entry into a contract to secure a profit or avoid a loss by reference to price fluctuations
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,monetisation,PDMRs,vested_unrestricted,any,permitted_with_clearance,via_dealing_definition,,3; 5,"Monetisation is not named. A prepaid forward or similar is an agreement to dispose, a price-referenced contract and (if funded) a secured financing arrangement, all of which are dealings requiring clearance and post-trade notification. Structures with a maturity of one year or less are short-term dealings and prohibited.","any application for, acquisition or disposal of, or agreement to apply for, acquire or dispose of securities"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,monetisation,Restricted Persons,any,any,permitted_with_clearance,via_dealing_definition,,3; 5,"Same dealing-definition analysis; clearance required, no short-term or derivatives restrictions beyond Closed Periods.","any other right or obligation, present or future, conditional or unconditional, to acquire or dispose of securities"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,short_selling,PDMRs,any,any,prohibited,express,,4 (Additional restrictions on PDMRs),"Express ban on short selling, defined as borrowing and selling in the hope of buying back lower.",where the dealing involves short selling BHP securities (i.e. the practice of borrowing a security and selling it in the hope that it can be bought back at a lower price some time in the future to close out the short position)
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,short_selling,Restricted Persons,any,any,permitted_with_clearance,via_dealing_definition,,3; 4,Not expressly banned for non-PDMRs; a short sale and the associated stock loan are dealings requiring clearance for Restricted Persons and insider-list persons.,"entry into, termination of, assignment of, or novation of any stock lending agreement"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,stock_lending,PDMRs,any,any,permitted_with_clearance,via_dealing_definition,,3; 5,"Not banned, but entry into, termination, assignment or novation of a stock lending agreement is a dealing requiring clearance and post-trade notification.","entry into, termination of, assignment of, or novation of any stock lending agreement"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,stock_lending,Restricted Persons,any,any,permitted_with_clearance,via_dealing_definition,,3; 4,Stock lending is a dealing requiring clearance and barred in Closed Periods.,"entry into, termination of, assignment of, or novation of any stock lending agreement"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,cfd,PDMRs,any,otc,permitted_with_clearance,via_dealing_definition,,3; 4,"CFDs are not named. A CFD is a contract to secure a profit or avoid a loss by reference to price fluctuations and so a dealing requiring clearance; if it is traded on an exchange or organised market it falls within the express derivatives ban, a short CFD is likely within the short selling ban in substance, and an open-ended CFD held short-term may be a short-term dealing.",entry into a contract to secure a profit or avoid a loss by reference to price fluctuations
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,margin_lending,PDMRs,unvested,any,prohibited,express,,4 (Additional restrictions on PDMRs),Express ban on margin loans collateralised by unvested securities.,"where the dealing involves using unvested BHP securities as collateral in any financial transaction, including hedging and margin loan arrangements"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,margin_lending,PDMRs,vested_unrestricted,any,permitted_with_clearance,express,,3 (Dealing in securities); 5,"Margin lending over vested securities is not banned but entry into the arrangement is expressly a dealing, so it needs clearance, cannot be entered in a Closed Period, and must be notified post-trade (and by BHP to the FCA and exchanges).",entry into any margin lending or other secured financing arrangement.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,margin_lending,Restricted Persons,any,any,permitted_with_clearance,express,,3; 4,Entry into a margin lending arrangement is a dealing requiring clearance for Restricted Persons and insider-list persons.,entry into any margin lending or other secured financing arrangement.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,margin_lending,"BHP directors, employees and contractors",any,any,permitted,express,,3,For general staff a margin loan is a dealing subject only to the insider trading prohibition.,entry into any margin lending or other secured financing arrangement.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,encumbrance,PDMRs,vested_unrestricted,any,permitted_with_clearance,via_dealing_definition,,3; 5,"Granting security, a charge, lien or other encumbrance over securities is itself a dealing, so a security interest over the collared shares needs clearance, is barred in Closed Periods and triggers PDMR post-trade notification.","use as security, or otherwise granting a charge, lien or other encumbrance over securities"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,encumbrance,PDMRs,unvested,any,prohibited,express,,4 (Additional restrictions on PDMRs),Using unvested securities as collateral in any financial transaction is banned.,where the dealing involves using unvested BHP securities as collateral in any financial transaction
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,encumbrance,Restricted Persons,any,any,permitted_with_clearance,via_dealing_definition,,3; 4,Granting an encumbrance is a dealing requiring clearance.,"use as security, or otherwise granting a charge, lien or other encumbrance over securities"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,secured_financing,PDMRs,unvested,any,prohibited,express,,4 (Additional restrictions on PDMRs),No financial transaction may be collateralised by unvested securities.,"where the dealing involves using unvested BHP securities as collateral in any financial transaction, including hedging and margin loan arrangements"
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,secured_financing,PDMRs,vested_unrestricted,any,permitted_with_clearance,express,,3; 5,"Any secured financing arrangement (not just margin loans) is a dealing; permitted for vested unrestricted shares with clearance, outside Closed Periods, with post-trade notification to the Group Company Secretary and onward FCA/exchange disclosure. The policy is silent on holding-locked vested shares as collateral for a loan, though hedging them is banned for plan participants.",entry into any margin lending or other secured financing arrangement.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,secured_financing,Restricted Persons,any,any,permitted_with_clearance,express,,3; 4,Secured financing is a dealing requiring clearance for Restricted Persons and insider-list persons.,entry into any margin lending or other secured financing arrangement.
